action,event_pk,rn,date,work_area,organization,project,survey,sampling_bout,site_id,source,project_specific_id,hakai_id,line_out_depth,pressure_transducer_depth,collected,preserved,analyzed,acidified,volume,lab_technician,filter_portion,pre_weight_mg,post_weight_mg,filter_size_mm,filter_type,extraction_duration,extraction_method,initial_extraction_volume,volume_filtered_ml,final_extraction_volume,tac_peak,_19_but,_19_hex,alpha_carotene,alloxanthin,antheraxanthin,beta_carotene,c2mgdg,chl_a,chl_b,chl_c1,chl_c1_c2,chl_c2,chl_c3,chl_ide_a,chla_allomer,chla_prime,diadinoxanthin,diatoxanthin,dv_chl_a,fuco,gyroxanthin_diester,lutein,me_chlide,mgdvp,neoxanthin,peri,phbide,phphyt,prasinoxanthin,violaxanthin,zeaxanthin,total_chl_a,all_chl_a,all_chl_a_flag,analyzing_lab,row_flag,quality_level,comments,quality_log
,416,1,2015-03-18,QUADRA,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY;OCEANOGRAPHY,QOMA1;QOMA;QOMA2,1,QU39,M,,QF447,0,,2015-03-18T16:02:55.000Z,2015-03-18T16:02:14.000Z,,,1000,Kate;Katie;Rebecca,1,131.1,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.;;Bottom depth is 265 m2: Checked by KP
,416,1,2015-03-18,QUADRA,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY;OCEANOGRAPHY,QOMA1;QOMA;QOMA2,1,QU39,M,,QF448,5,,2015-03-18T16:02:55.000Z,2015-03-18T16:02:14.000Z,,,1000,Kate;Katie;Rebecca,1,131.9,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.;;Bottom depth is 265 m2: Checked by KP
,416,1,2015-03-18,QUADRA,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY;OCEANOGRAPHY,QOMA1;QOMA;QOMA2,1,QU39,M,,QF449,10,,2015-03-18T16:02:55.000Z,2015-03-18T16:02:14.000Z,,,1000,Kate;Katie;Rebecca,1,129.7,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.;;Bottom depth is 265 m2: Checked by KP
,416,1,2015-03-18,QUADRA,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY;OCEANOGRAPHY,QOMA1;QOMA;QOMA2,1,QU39,M,,QF450,30,,2015-03-18T16:02:55.000Z,2015-03-18T16:02:14.000Z,,,1000,Kate;Katie;Rebecca,1,130.9,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.;;Bottom depth is 265 m2: Checked by KP
,504,1,2015-03-24,QUADRA,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY;OCEANOGRAPHY,QOMA1;QOMA2;QOMA,1,QU39,M,,QF438,0,,2015-03-24T16:04:16.000Z,2015-03-24T18:19:25.000Z,2018-01-24T08:00:00.000Z,,1000,Rebecca;Other,1,131.6,,47,,24 hr,soak+sonic,5,1000,5.406148945412424,246422,0,0,,0,,0,0,1.5076016898556581,0,0.06483084623878242,,0.19729734271437685,0.10411589061826178,0.07973639268611876,,,0.051209969653911225,0,0,0.8593028463256613,,0,0,0.017919081302254745,0,0.04627250979883625,0,0,0,0,0,1.5873380825417769,,,DFO-IOS,Results,Technicianmr,,1: Checked by KP2: Analyzed by Nina Nemcek at DFO-IOS
,504,1,2015-03-24,QUADRA,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY;OCEANOGRAPHY,QOMA1;QOMA2;QOMA,1,QU39,M,,QF441,5,,2015-03-24T16:04:16.000Z,2015-03-24T18:19:25.000Z,2018-05-28T07:00:00.000Z,,1000,Rebecca;Other,1,130.6,,47,,,,,1000,,,0.003216373205940496,0.0012157793708010725,0,0.007506683918079557,6.671719461257925e-18,0.02519330418778761,,0.7136117328454984,0.0035431322120634597,,0.23416453580195715,,0.0691498395001178,0,0.10322712100832288,0.022917752247627075,0.02570658506963394,0.007576220288098842,,0.4323319058643599,0,0,,,0.0008313011646603865,0.03747670091221037,,,0,0.01212152719634156,0,0.8774151258770205,1.0035599991329704,AV,USC,Results,Technicianmr,,1: Checked by KP2: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD
,504,1,2015-03-24,QUADRA,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY;OCEANOGRAPHY,QOMA1;QOMA2;QOMA,1,QU39,M,,QF469,10,,2015-03-24T16:04:16.000Z,2015-03-24T18:19:25.000Z,,,1000,Rebecca;Other,1,129.8,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,1: Checked by KP
,504,1,2015-03-24,QUADRA,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY;OCEANOGRAPHY,QOMA1;QOMA2;QOMA,1,QU39,M,,QF470,30,,2015-03-24T16:04:16.000Z,2015-03-24T18:19:25.000Z,,,1000,Rebecca;Other,1,131.9,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,1: Checked by KP
,531,1,2015-03-31,QUADRA,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY;OCEANOGRAPHY,QOMA2;QOMA;QOMA1,1,QU39,M,,QX2,5,,2015-03-31T15:57:34.000Z,2015-03-31T19:01:00.000Z,2018-05-28T07:00:00.000Z,,1000,Katie;Other,1,,,,,,,,1000,,,0.0013946192076305767,0.0030587199267237118,0.010716198421798027,0.014533349414838264,6.284432263329706e-18,0,,0.19789387328827285,0,,0.019363127937052752,,0.0066838152579934956,0,0.010763168390773693,0.008459291412517313,0.011099251763563408,0.0021122366081029282,,0.0832653426590662,0,0,,,0,0,,,0,0.004052672861262241,0,0.2137266160042314,0.2329490758075224,AV,USC,Results,Technicianmr,,1: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD2: Checked by KP3: Ctd only dropped to 165m
,531,1,2015-03-31,QUADRA,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY;OCEANOGRAPHY,QOMA2;QOMA;QOMA1,1,QU39,M,,QX3,10,,2015-03-31T15:57:34.000Z,2015-03-31T19:01:00.000Z,,,1000,Katie;Other,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,1: Checked by KP2: Ctd only dropped to 165m
,531,1,2015-03-31,QUADRA,HAKAI,OCEANOGRAPHY;OCEANOGRAPHY;OCEANOGRAPHY,QOMA2;QOMA;QOMA1,1,QU39,M,,QX4,30,,2015-03-31T15:57:34.000Z,2015-03-31T19:01:00.000Z,,,1000,Katie;Other,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,1: Checked by KP2: Ctd only dropped to 165m
