action,event_pk,rn,date,work_area,organization,project,survey,sampling_bout,site_id,lat,long,gather_lat,gather_long,collection_method,line_out_depth,pressure_transducer_depth,volume,collected,preserved,analyzed,lab_technician,project_specific_id,hakai_id,is_blank,is_solid_standard,filter_size_mm,filter_type,acetone_volume_ml,flurometer_serial_no,calibration,acid_ratio_correction_factor,acid_coefficient,calibration_slope,before_acid,after_acid,acid_flag,dilution_factor,chla,chla_flag,chla_final,phaeo,phaeo_flag,phaeo_final,analyzing_lab,comments,quality_log,row_flag,quality_level
,460020,1,2019-01-15,QUADRA,HAKAI,OCEANOGRAPHY,QRAFTB,1,QU38,50.1172,-125.2226,50.11759108,-125.2224855,,1,,250,2019-01-15 09:29:42,2019-01-15 09:31:45,2019-03-06 10:35:00,bryn.fedje,,QCHL9125,,,,20um,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,5454.17,3584.59,,1,0.10571502,AV,0.10571502,0.062783832,AV,0.062783832,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadata QCd by BF",Results,Technicianm
,460020,1,2019-01-15,QUADRA,HAKAI,OCEANOGRAPHY,QRAFTB,1,QU38,50.1172,-125.2226,50.11759108,-125.2224855,,1,,250,2019-01-15 09:29:42,2019-01-15 09:31:45,2019-03-06 09:56:00,bryn.fedje,,QCHL9126,,,,3um,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,7623.71,4943.57,,1,0.15154797,AV,0.15154797,0.080831708,AV,0.080831708,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadata QCd by BF",Results,Technicianm
,460020,1,2019-01-15,QUADRA,HAKAI,OCEANOGRAPHY,QRAFTB,1,QU38,50.1172,-125.2226,50.11759108,-125.2224855,,1,,250,2019-01-15 09:29:42,2019-01-15 09:31:45,2019-03-06 10:32:00,bryn.fedje,,QCHL9127,,,,GF/F,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,11773.54,7612.15,,1,0.235304949,AV,0.235304949,0.122515202,AV,0.122515202,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadata QCd by BF",Results,Technicianm
,460020,1,2019-01-15,QUADRA,HAKAI,OCEANOGRAPHY,QRAFTB,1,QU38,50.1172,-125.2226,50.11759108,-125.2224855,,1,,250,2019-01-15 09:29:42,2019-01-15 09:31:45,2019-03-06 14:03:00,bryn.fedje,,QCHL9128,,,,Bulk GF/F,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,26506.29,17666.01,,1,0.49987183,AV,0.49987183,0.330544593,AV,0.330544593,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadata QCd by BF",Results,Technicianm
,460020,1,2019-01-15,QUADRA,HAKAI,OCEANOGRAPHY,QRAFTB,1,QU38,50.1172,-125.2226,50.11759108,-125.2224855,,5,,250,2019-01-15 09:29:42,2019-01-15 09:31:45,2019-03-06 10:11:00,bryn.fedje,,QCHL9129,,,,20um,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,3709.98,2637.55,,1,0.060640336,AV,0.060640336,0.063341528,AV,0.063341528,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadata QCd by BF",Results,Technicianm
,460020,1,2019-01-15,QUADRA,HAKAI,OCEANOGRAPHY,QRAFTB,1,QU38,50.1172,-125.2226,50.11759108,-125.2224855,,5,,250,2019-01-15 09:29:42,2019-01-15 09:31:45,2019-03-06 09:39:00,bryn.fedje,,QCHL9130,,,,3um,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,5064.67,3342.22,,1,0.097395584,AV,0.097395584,0.059710315,AV,0.059710315,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadata QCd by BF",Results,Technicianm
,460020,1,2019-01-15,QUADRA,HAKAI,OCEANOGRAPHY,QRAFTB,1,QU38,50.1172,-125.2226,50.11759108,-125.2224855,,5,,250,2019-01-15 09:29:42,2019-01-15 09:31:45,2019-03-06 10:34:00,bryn.fedje,,QCHL9131,,,,GF/F,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,18570.96,11767.46,,1,0.38470252,AV,0.38470252,0.168444005,AV,0.168444005,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadata QCd by BF",Results,Technicianm
,460020,1,2019-01-15,QUADRA,HAKAI,OCEANOGRAPHY,QRAFTB,1,QU38,50.1172,-125.2226,50.11759108,-125.2224855,,5,,250,2019-01-15 09:29:42,2019-01-15 09:31:45,2019-03-06 10:33:00,bryn.fedje,,QCHL9132,,,,Bulk GF/F,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,26947.04,17241.11,,1,0.548819833,AV,0.548819833,0.261623549,AV,0.261623549,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadata QCd by BF",Results,Technicianm
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,0,,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 10:02:00,"bryn.fedje,emma.myers",,QCHL9102,,,,20um,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,7554.3,4810.77,,1,0.155132344,AV,0.155132344,0.071004877,AV,0.071004877,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,0,,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 10:22:00,"bryn.fedje,emma.myers",,QCHL9103,,,,3um,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,11504.82,7329.3,,1,0.236103927,AV,0.236103927,0.10842045,AV,0.10842045,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,0,,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 10:28:00,"bryn.fedje,emma.myers",,QCHL9104,,,,GF/F,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,13408.25,8792.41,,1,0.261001732,AV,0.261001732,0.152298253,AV,0.152298253,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,0,,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 11:54:00,"bryn.fedje,emma.myers",,QCHL9105,,,,Bulk GF/F,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,24707.23,15628.58,,1,0.513350413,AV,0.513350413,0.221293658,AV,0.221293658,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,5,5.9131934,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 09:55:00,"bryn.fedje,emma.myers",,QCHL9106,,,,20um,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,5268.91,3594.8,,1,0.094662209,AV,0.094662209,0.074316579,AV,0.074316579,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,5,5.9131934,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 11:59:00,"bryn.fedje,emma.myers",,QCHL9107,,,,3um,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,6863.89,4504.31,,1,0.13342197,AV,0.13342197,0.078309655,AV,0.078309655,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,5,5.9131934,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 10:27:00,"bryn.fedje,emma.myers",,QCHL9108,,,,GF/F,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,17454.38,11104.97,,1,0.359026094,AV,0.359026094,0.162979128,AV,0.162979128,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,5,5.9131934,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 10:23:00,"bryn.fedje,emma.myers",,QCHL9109,,,,Bulk GF/F,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,32391.21,20545.07,,1,0.669837571,AV,0.669837571,0.295913243,AV,0.295913243,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,10,10.4169058,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 11:57:00,"bryn.fedje,emma.myers",,QCHL9110,,,,20um,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,3530.14,2454.05,,1,0.06084729,AV,0.06084729,0.05450889,AV,0.05450889,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,10,10.4169058,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 10:29:00,"bryn.fedje,emma.myers",,QCHL9111,,,,3um,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,6257.44,4164.87,,1,0.118323944,AV,0.118323944,0.077451811,AV,0.077451811,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,10,10.4169058,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 10:21:00,"bryn.fedje,emma.myers",,QCHL9112,,,,GF/F,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,16958.01,11256.69,,1,0.322379977,AV,0.322379977,0.206757063,AV,0.206757063,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,10,10.4169058,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 10:00:00,"bryn.fedje,emma.myers",,QCHL9113,,,,Bulk GF/F,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,22410.56,14525.74,,1,0.445845539,AV,0.445845539,0.236957938,AV,0.236957938,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,20,,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 09:58:00,"bryn.fedje,emma.myers",,QCHL9114,,,,20um,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,2743.77,2045.38,,1,0.03949032,AV,0.03949032,0.056655733,AV,0.056655733,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,20,,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 10:34:00,"bryn.fedje,emma.myers",,QCHL9115,,,,3um,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,3744.57,2663.85,,1,0.061109092,AV,0.061109092,0.064109041,AV,0.064109041,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,20,,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 11:51:00,"bryn.fedje,emma.myers",,QCHL9116,,,,GF/F,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,6553.38,4505.14,,1,0.115817313,AV,0.115817313,0.095953327,AV,0.095953327,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,20,,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 09:59:00,"bryn.fedje,emma.myers",,QCHL9117,,,,Bulk GF/F,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,12668.99,8669.29,,1,0.226162221,AV,0.226162221,0.181350329,AV,0.181350329,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
,461395,1,2019-01-16,QUADRA,HAKAI,OCEANOGRAPHY,QOMA1,1,QU39,50.0307,-125.0992,,,,30,29.7765068,250,2019-01-16 10:07:08,2019-01-16 10:10:18,2019-02-21 11:58:00,"bryn.fedje,emma.myers",,QCHL9118,,,,20um,10,720000982,2018-05-04 00:00:00,2.202915677,1.831313466,0.000641704,2861.48,2282.67,,1,0.032728693,AV,0.032728693,0.074571521,AV,0.074571521,HAKAI,,"1: CHL sample metadata has been QCd by BF2: Event metadataQC'd by CM",Results,Technicianmr
