action,event_pk,rn,date,work_area,organization,project,survey,sampling_bout,site_id,source,project_specific_id,hakai_id,line_out_depth,pressure_transducer_depth,collected,preserved,analyzed,acidified,volume,lab_technician,filter_portion,pre_weight_mg,post_weight_mg,filter_size_mm,filter_type,extraction_duration,extraction_method,initial_extraction_volume,volume_filtered_ml,final_extraction_volume,tac_peak,_19_but,_19_hex,alpha_carotene,alloxanthin,antheraxanthin,beta_carotene,c2mgdg,chl_a,chl_b,chl_c1,chl_c1_c2,chl_c2,chl_c3,chl_ide_a,chla_allomer,chla_prime,diadinoxanthin,diatoxanthin,dv_chl_a,fuco,gyroxanthin_diester,lutein,me_chlide,mgdvp,neoxanthin,peri,phbide,phphyt,prasinoxanthin,violaxanthin,zeaxanthin,total_chl_a,all_chl_a,all_chl_a_flag,analyzing_lab,row_flag,quality_level,comments,quality_log
,416,1,2015-03-18,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMA1,QOMA2",1,QU39,M,,QF447,0,,2015-03-18 09:02:55,2015-03-18 09:02:14,,,1000,"Kate,Katie,Rebecca",1,131.1,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,"1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.

Bottom depth is 265 m2: Checked by KP"
,416,1,2015-03-18,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMA1,QOMA2",1,QU39,M,,QF448,5,,2015-03-18 09:02:55,2015-03-18 09:02:14,,,1000,"Kate,Katie,Rebecca",1,131.9,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,"1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.

Bottom depth is 265 m2: Checked by KP"
,416,1,2015-03-18,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMA1,QOMA2",1,QU39,M,,QF449,10,,2015-03-18 09:02:55,2015-03-18 09:02:14,,,1000,"Kate,Katie,Rebecca",1,129.7,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,"1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.

Bottom depth is 265 m2: Checked by KP"
,416,1,2015-03-18,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMA1,QOMA2",1,QU39,M,,QF450,30,,2015-03-18 09:02:55,2015-03-18 09:02:14,,,1000,"Kate,Katie,Rebecca",1,130.9,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,"1: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.

Bottom depth is 265 m2: Checked by KP"
,504,1,2015-03-24,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY,OCEANOGRAPHY","QOMA1,QOMA2,QOMA",1,QU39,M,,QF438,0,,2015-03-24 09:04:16,2015-03-24 11:19:25,2018-01-24 00:00:00,,1000,"Rebecca,Other",1,131.6,,47,,24 hr,soak+sonic,5,1000,5.406148945,246422,0,0,,0,,0,0,1.50760169,0,0.064830846,,0.197297343,0.104115891,0.079736393,,,0.05120997,0,0,0.859302846,,0,0,0.017919081,0,0.04627251,0,0,0,0,0,1.587338083,,,DFO-IOS,Results,Technicianmr,,"1: Checked by KP2: Analyzed by Nina Nemcek at DFO-IOS"
,504,1,2015-03-24,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY,OCEANOGRAPHY","QOMA1,QOMA2,QOMA",1,QU39,M,,QF441,5,,2015-03-24 09:04:16,2015-03-24 11:19:25,2018-05-28 00:00:00,,1000,"Rebecca,Other",1,130.6,,47,,,,,1000,,,0.003216373,0.001215779,0,0.007506684,6.67172E-18,0.025193304,,0.713611733,0.003543132,,0.234164536,,0.06914984,0,0.103227121,0.022917752,0.025706585,0.00757622,,0.432331906,0,0,,,0.000831301,0.037476701,,,0,0.012121527,0,0.877415126,1.003559999,,USC,Results,Technicianmr,,"1: Checked by KP2: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD"
,504,1,2015-03-24,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY,OCEANOGRAPHY","QOMA1,QOMA2,QOMA",1,QU39,M,,QF469,10,,2015-03-24 09:04:16,2015-03-24 11:19:25,,,1000,"Rebecca,Other",1,129.8,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,1: Checked by KP
,504,1,2015-03-24,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY,OCEANOGRAPHY","QOMA1,QOMA2,QOMA",1,QU39,M,,QF470,30,,2015-03-24 09:04:16,2015-03-24 11:19:25,,,1000,"Rebecca,Other",1,131.9,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,1: Checked by KP
,531,1,2015-03-31,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMA2,QOMA1",1,QU39,M,,QX2,5,,2015-03-31 08:57:34,2015-03-31 12:01:00,2018-05-28 00:00:00,,1000,"Katie,Other",1,,,,,,,,1000,,,0.001394619,0.00305872,0.010716198,0.014533349,6.28443E-18,0,,0.197893873,0,,0.019363128,,0.006683815,0,0.010763168,0.008459291,0.011099252,0.002112237,,0.083265343,0,0,,,0,0,,,0,0.004052673,0,0.213726616,0.232949076,,USC,Results,Technicianmr,,"1: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD2: Checked by KP3: Ctd only dropped to 165m"
,531,1,2015-03-31,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMA2,QOMA1",1,QU39,M,,QX3,10,,2015-03-31 08:57:34,2015-03-31 12:01:00,,,1000,"Katie,Other",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,"1: Checked by KP2: Ctd only dropped to 165m"
,531,1,2015-03-31,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMA2,QOMA1",1,QU39,M,,QX4,30,,2015-03-31 08:57:34,2015-03-31 12:01:00,,,1000,"Katie,Other",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,"1: Checked by KP2: Ctd only dropped to 165m"
,614,1,2015-04-06,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMA1,QOMA2",1,QU39,M,,QX10,0,,2015-04-06 08:44:21,2015-04-06 13:45:38,2018-01-24 00:00:00,,1000,"Leo,Rebecca,Other",1,,,,,24 hr,soak+sonic,5,1000,5.417011062,246422,0.033200659,0.053247386,,0.04053943,,0.025836961,0.036082945,1.964119697,0,0,,0.199121172,0.14972177,0,,,0.110075155,0.033200753,0,1.050987769,,0,0,0.021286875,0,0,0,0,0,0,0,1.964119697,,,DFO-IOS,Results,Technicianmr,,"1: Checked by KP2: Analyzed by Nina Nemcek at DFO-IOS"
,614,1,2015-04-06,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMA1,QOMA2",1,QU39,M,,QX11,5,,2015-04-06 08:44:21,2015-04-06 13:45:38,2018-05-28 00:00:00,,1000,"Katie,Other",1,,,,,,,,1000,,,0.015479541,0.024286442,0.025428578,0.02469531,6.09288E-18,0.034521684,,0.801334921,0.018075794,,0.137552215,,0.117314556,0,0.028144937,0.050372174,0.048842801,0.019099882,,0.548037571,0,0,,,0.000648722,0.01857951,,,0,0.008512159,0.003517789,1.079231767,1.157748877,,USC,Results,Technicianmr,,"1: chl c3 and chl-ide a concentrations recalculated/updated by analysis lab - 2018-08-21 JD2: Checked by KP3: Ctd only dropped to 165m"
,614,1,2015-04-06,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMA1,QOMA2",1,QU39,M,,QX9,10,,2015-04-06 08:44:21,2015-04-06 13:45:38,,,1000,"Leo,Rebecca,Other",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,1: Checked by KP
,614,1,2015-04-06,QUADRA,HAKAI,"OCEANOGRAPHY,OCEANOGRAPHY,OCEANOGRAPHY","QOMA,QOMA1,QOMA2",1,QU39,M,,QX8,30,,2015-04-06 08:44:21,2015-04-06 13:45:38,,,965,"Leo,Rebecca,Other",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collected,Technician,,1: Checked by KP
