action,event_pk,rn,date,work_area,organization,project,survey,sampling_bout,site_id,lat,long,gather_lat,gather_long,collection_method,line_out_depth,pressure_transducer_depth,volume,collected,preserved,analyzed,lab_technician,project_specific_id,hakai_id,is_blank,is_solid_standard,filter_size_mm,filter_type,acetone_volume_ml,flurometer_serial_no,calibration,acid_ratio_correction_factor,acid_coefficient,calibration_slope,before_acid,after_acid,acid_flag,dilution_factor,chla,chla_flag,chla_final,phaeo,phaeo_flag,phaeo_final,analyzing_lab,row_flag,quality_level,comments,quality_log
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,0,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:18:00,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13413,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,3999.31,2788.16,,1,0.057813983,,,0.040736854,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,0,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:16:18,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13414,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,17910.04,12635.57,,1,0.251775683,,,0.194843593,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,0,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 19:32:47,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13415,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,4753.57,3222.95,,1,0.073063814,,,0.040855194,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,0,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:33:18,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13416,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,6679.28,5101.63,,1,0.075308781,,,0.10501441,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,5,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:34:46,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13417,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,4366.79,3097.98,,1,0.060566371,,,0.048935424,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,5,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:23:02,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13418,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,4991.21,3517.76,,1,0.070334817,,,0.054004602,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,5,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:22:25,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13419,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,6766.3,4880.05,,1,0.090039735,,,0.082451446,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,5,,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:15:44,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13420,,,,Bulk GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,11107.87,7692.19,,1,0.163046745,,,0.108842875,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,10,11.6403346,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:29:28,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13421,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,3995.95,2881.23,,1,0.053210918,,,0.048629589,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,10,11.6403346,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:18:38,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13422,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,3896.06,2632.14,,1,0.060332948,,,0.032703177,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
,11333947,1,2021-01-11,CALVERT,HAKAI,OCEANOGRAPHY,KWAK,1,KC10,51.6505,-127.9516,51.651099,-127.948051,,10,11.6403346,250,2021-01-11 09:47:59,2021-01-11 11:58:19,2021-06-12 18:25:43,"chris.mackenzie,chris.osullivan,jonathan.bergshoeff",,CHL13423,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,5958.08,4534.94,,1,0.06793328,,,0.092359578,,,HAKAI,Results,Technicianm,,"1: CHL QCd by CM2: Event metadata QCd by CM"
