action,event_pk,rn,date,work_area,organization,project,survey,sampling_bout,site_id,lat,long,gather_lat,gather_long,collection_method,line_out_depth,pressure_transducer_depth,volume,collected,preserved,analyzed,lab_technician,project_specific_id,hakai_id,is_blank,is_solid_standard,filter_size_mm,filter_type,acetone_volume_ml,flurometer_serial_no,calibration,acid_ratio_correction_factor,acid_coefficient,calibration_slope,before_acid,after_acid,acid_flag,dilution_factor,chla,chla_flag,chla_final,phaeo,phaeo_flag,phaeo_final,analyzing_lab,row_flag,quality_level,comments,quality_log
,3400868,1,2020-02-09,CALVERT,HAKAI,MARINEGEO,ROCKY,1,ROCKY07,,,,,,0,,250,2020-02-09 14:49:00,2020-02-09 22:19:00,2020-02-27 11:33:45,"derek.vanmaanen,eva.jordison,gillian.sadlierbrown,kyle.hall,tyrel.froese",,CHL11683,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,9091.14,7087.19,,1,0.095658119,,,0.154847055,,,HAKAI,Results,Technicianm,,"1: Event QCd by TF2: Sample QCd by TF"
,3400869,1,2020-02-09,CALVERT,HAKAI,MARINEGEO,ROCKY,2,ROCKY07,,,,,,0,,250,2020-02-09 17:54:00,2020-02-09 22:20:00,2020-02-27 11:28:36,"derek.vanmaanen,eva.jordison,gillian.sadlierbrown,kyle.hall,tyrel.froese",,CHL11684,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,15999.42,12213.89,,1,0.180701455,,,0.25101304,,,HAKAI,Results,Technicianm,,"1: Event QCd by TF2: Sample QCd by TF"
,3400868,1,2020-02-09,CALVERT,HAKAI,MARINEGEO,ROCKY,1,ROCKY07,,,,,,0,,250,2020-02-09 14:49:00,2020-02-09 22:19:00,2020-02-27 11:32:23,"derek.vanmaanen,eva.jordison,gillian.sadlierbrown,kyle.hall,tyrel.froese",,CHL11688,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,15584.32,11678.74,,1,0.186432016,,,0.226366965,,,HAKAI,Results,Technicianm,,"1: Event QCd by TF2: Sample QCd by TF"
,3400869,1,2020-02-09,CALVERT,HAKAI,MARINEGEO,ROCKY,2,ROCKY07,,,,,,0,,250,2020-02-09 17:54:00,2020-02-09 22:20:00,2020-02-27 11:28:01,"derek.vanmaanen,eva.jordison,gillian.sadlierbrown,kyle.hall,tyrel.froese",,CHL11689,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,13656.06,9856.69,,1,0.181362104,,,0.167034348,,,HAKAI,Results,Technicianm,,"1: Event QCd by TF2: Sample QCd by TF"
,3400868,1,2020-02-09,CALVERT,HAKAI,MARINEGEO,ROCKY,1,ROCKY07,,,,,,0,,250,2020-02-09 14:49:00,2020-02-09 22:19:00,2020-02-27 11:33:04,"derek.vanmaanen,eva.jordison,gillian.sadlierbrown,kyle.hall,tyrel.froese",,CHL11693,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,11708.45,8643.05,,1,0.146326205,,,0.159172695,,,HAKAI,Results,Technicianm,,"1: Event QCd by TF2: Sample QCd by TF"
,3400869,1,2020-02-09,CALVERT,HAKAI,MARINEGEO,ROCKY,2,ROCKY07,,,,,,0,,250,2020-02-09 17:54:00,2020-02-09 22:20:00,2020-02-27 11:29:12,"derek.vanmaanen,eva.jordison,gillian.sadlierbrown,kyle.hall,tyrel.froese",,CHL11694,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,16171.91,11871.1,,1,0.205298234,,,0.21429994,,,HAKAI,Results,Technicianm,,"1: Event QCd by TF2: Sample QCd by TF"
,3401200,1,2020-02-10,CALVERT,HAKAI,MARINEGEO,ROCKY,1,ROCKY03,,,,,,0,,250,2020-02-10 19:15:00,2020-02-10 21:30:00,2020-02-27 11:39:11,"chris.osullivan,kyle.hall",,CHL11696,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,6251.74,4526.11,,1,0.082372574,,,0.077608176,,,HAKAI,Results,Technicianm,,"1: Event QCd by TF2: Sample QCd by TF"
,3401200,1,2020-02-10,CALVERT,HAKAI,MARINEGEO,ROCKY,1,ROCKY03,,,,,,0,,250,2020-02-10 19:15:00,2020-02-10 21:30:00,2020-02-27 11:37:53,"chris.osullivan,kyle.hall",,CHL11697,,,,GF/F,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,19157.94,13362.55,,1,0.276641687,,,0.195673564,,,HAKAI,Results,Technicianm,,"1: Event QCd by TF2: Sample QCd by TF"
,3401200,1,2020-02-10,CALVERT,HAKAI,MARINEGEO,ROCKY,1,ROCKY03,,,,,,0,,250,2020-02-10 19:15:00,2020-02-10 21:30:00,2020-02-27 11:38:33,"chris.osullivan,kyle.hall",,CHL11698,,,,20um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,14247.4,10362.42,,1,0.185448679,,,0.180823402,,,HAKAI,Results,Technicianm,,"1: Event QCd by TF2: Sample QCd by TF"
,3401201,1,2020-02-10,CALVERT,HAKAI,MARINEGEO,ROCKY,2,ROCKY03,,,,,,0,,250,2020-02-10 19:15:00,2020-02-10 09:30:00,2020-09-10 12:12:51,"chris.osullivan,kyle.hall",,CHL11699,,,,3um,10,720001154,2019-05-09 00:00:00,2.35049298,1.740470343,0.00050771,11450.84,8214.25,,1,0.154497923,,,0.135844531,,,HAKAI,Results,Technicianm,,"1: Event QCd by TF2: Sample QCd by TF"
